rows,cols,noise,error,expected mag
7,3,0,0,903.865
7,3,0.00166667,5.71012e-06,981.062
7,3,0.00333333,7.86016e-06,1089.56
7,3,0.005,7.6057e-06,530.375
7,3,0.00666667,1.7086e-05,721.96
7,3,0.00833333,1.14522e-05,909.304
7,3,0.01,1.17892e-05,634.393
7,3,0.0116667,2.52678e-05,606.367
7,3,0.0133333,2.00005e-05,1038.39
7,3,0.015,2.93369e-05,1102.96
7,3,0.0166667,3.22076e-05,473.171
7,3,0.0183333,2.35449e-05,148.818
7,3,0.02,2.77829e-05,776.234
7,3,0.0216667,5.5221e-05,158.773
7,3,0.0233333,3.92058e-05,329.207
7,3,0.025,3.79712e-05,839.861
7,3,0.0266667,9.05504e-05,685.559
7,3,0.0283333,5.14867e-05,935.388
7,3,0.03,3.99426e-05,578.726
7,3,0.0316667,4.10098e-05,246.642
7,3,0.0333333,6.49246e-05,635.453
7,3,0.035,5.89167e-05,339.165
7,3,0.0366667,5.36857e-05,222.893
7,3,0.0383333,7.48054e-05,680.89
7,3,0.04,6.28406e-05,171.681
7,3,0.0416667,7.9563e-05,415.876
7,3,0.0433333,5.95628e-05,683.472
7,3,0.045,8.47857e-05,1070.92
7,3,0.0466667,6.40436e-05,721.112
7,3,0.0483333,6.9422e-05,971.842
7,3,0.05,7.93422e-05,470.327
7,3,0,0,877.458
7,3,0.00166667,2.67345e-06,884.275
7,3,0.00333333,5.6032e-06,941.544
7,3,0.005,9.44286e-06,864.204
7,3,0.00666667,1.00352e-05,621.509
7,3,0.00833333,1.38712e-05,777.776
7,3,0.01,1.70291e-05,1193.17
7,3,0.0116667,1.61553e-05,191.925
7,3,0.0133333,3.70766e-05,1088.31
7,3,0.015,1.98581e-05,980.317
7,3,0.0166667,2.44936e-05,697.586
7,3,0.0183333,3.11487e-05,899.363
7,3,0.02,2.36363e-05,837.181
7,3,0.0216667,3.76618e-05,734.503
7,3,0.0233333,4.10294e-05,1018.07
7,3,0.025,0.000106214,255.63
7,3,0.0266667,5.05131e-05,341.752
7,3,0.0283333,5.06142e-05,960.491
7,3,0.03,4.91728e-05,902.906
7,3,0.0316667,5.56259e-05,800.659
7,3,0.0333333,5.27682e-05,152.797
7,3,0.035,6.26476e-05,1281.18
7,3,0.0366667,7.43381e-05,717.648
7,3,0.0383333,5.63963e-05,1035.02
7,3,0.04,6.01979e-05,549.997
7,3,0.0416667,5.57137e-05,966.768
7,3,0.0433333,8.23903e-05,403.926
7,3,0.045,8.04811e-05,707.358
7,3,0.0466667,7.92893e-05,1321.43
7,3,0.0483333,9.81232e-05,975.095
7,3,0.05,9.21331e-05,172.622
7,3,0,0,838.953
7,3,0.00166667,0,338.965
7,3,0.00333333,6.62116e-06,812.455
7,3,0.005,9.19315e-06,1208.84
7,3,0.00666667,8.88124e-06,637.33
7,3,0.00833333,1.4962e-05,1076.57
7,3,0.01,2.60419e-05,495.074
7,3,0.0116667,1.65066e-05,621.319
7,3,0.0133333,2.59131e-05,409.36
7,3,0.015,1.90763e-05,915.134
7,3,0.0166667,3.10933e-05,864.04
7,3,0.0183333,5.13545e-05,834.08
7,3,0.02,3.43873e-05,724.152
7,3,0.0216667,4.52517e-05,599.903
7,3,0.0233333,3.41243e-05,784.939
7,3,0.025,5.52469e-05,1143.04
7,3,0.0266667,3.81843e-05,791.418
7,3,0.0283333,5.22292e-05,518.496
7,3,0.03,5.3346e-05,758.765
7,3,0.0316667,4.48649e-05,1212.54
7,3,0.0333333,8.05962e-05,1054.13
7,3,0.035,6.27356e-05,802.61
7,3,0.0366667,5.8355e-05,777.851
